Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2022-01-03,178.1036376953125,323.89837646484375,178.95497562988,327.0430208965413,173.89593761791699,319.08948826047026,174.0133573614573,324.4789321117376,104487900,28865100
2022-01-04,175.84323120117188,318.3444519042969,179.01369889567948,324.33379227694843,175.2756775127618,315.5481232153685,178.71035458130368,323.975761808593,99310400,32674300
2022-01-05,171.1658172607422,306.1238708496094,176.3031403228598,315.49975115217205,170.8918278919333,305.7368436101561,175.75516158524204,315.29653749062345,94537600,40054300
2022-01-06,168.3084716796875,303.7049560546875,171.53764883189484,308.3687131905766,167.95619753705944,301.39241851651343,168.99344503165895,302.9986098361541,96904000,39646100
2022-01-07,168.47486877441406,303.8597412109375,170.40258963561612,306.23998686939547,167.35933616352636,300.037776956861,169.1794172582698,303.9661611560191,86709100,32720000
2022-01-10,168.49440002441406,304.0822448730469,168.79774430633347,304.51766895717213,164.5606744980765,294.81281436875065,165.45114734140734,299.4572001340922,106765600,44289500
2022-01-11,171.3223876953125,304.7693176269531,171.4202325096092,306.34645318386146,167.15382233749222,299.84432347965804,168.62162893365016,303.2211788519228,76138300,29386800
2022-01-12,171.7627410888672,307.9525451660156,173.37732250749067,312.92593457694414,171.0679876032979,306.80111935386,172.3400748149154,309.3071846120445,74805200,34372200
2022-01-13,168.49440002441406,294.91925048828125,172.82931463870656,310.477999759612,168.10297600637327,294.14519599434743,172.0073465977702,310.0812872347779,84505800,45366000
2022-01-14,169.35552978515625,300.1442565917969,170.0502832024392,300.74415332363384,167.4180143556812,293.90333446831437,167.66264878484014,294.38712596538153,80440800,39846400
2022-01-18,166.15573120117188,292.83892822265625,168.83691537487223,299.75713933010854,165.77410203397278,291.95842433213926,167.82902257608225,294.2129087897325,90956700,42333200
2022-01-19,162.66233825683594,293.4969482421875,167.40825267441707,303.73399326140634,162.37856885772902,292.887395735505,166.35143003303915,296.3610152786243,94815000,45933900
2022-01-20,160.97923278808594,291.8229675292969,166.0382709410417,301.54716249622516,160.6563135530504,291.3778877257741,163.3962221186515,299.0508119575389,91420500,35380700
2022-01-21,158.92431640625,286.4336242675781,162.76018251834915,294.25168273283816,158.81667665863466,286.02722637262457,160.8911718694381,292.8777312649759,122848900,57984400
2022-01-24,158.15133666992188,286.76251220703125,158.81675039995244,287.4785140362115,151.37985422198233,267.1012224531404,156.58568453282297,282.72770843175715,162294600,85731500
2022-01-25,156.3507537841797,279.13800048828125,159.26679197315192,285.4272897689935,153.64999508546384,275.92564748178614,155.5679206315474,282.06977569492784,115798400,72848600
2022-01-26,156.26272583007812,287.0915222167969,160.8618511560036,298.4993332025726,154.43286466260852,283.5308241295649,159.99095298775666,298.0058564603818,108275300,90428900
2022-01-27,155.8028106689453,290.1200256347656,160.32365113506773,297.33818511520883,154.88298262420264,288.2719389279167,158.96348400735147,292.8486162403718,121954600,53481300
2022-01-28,166.67434692382812,298.2671203613281,166.69392186078738,298.4799897848547,159.30595841103175,284.9048025987013,162.15350702087153,290.49743069503995,179935700,49743700
2022-01-31,171.02882385253906,300.89892578125,171.2441033483954,302.2535358676551,165.87192581665457,296.4383534812512,166.5079843021577,298.93473377389125,115541600,46444500
2022-02-01,170.8624725341797,298.75091552734375,171.0875320298687,300.5602908856212,168.61183278338754,295.2385847597286,170.27534392743365,300.347421459454,86213900,40950400
2022-02-02,172.0660858154297,303.29852294921875,172.105235689561,304.9047140821634,169.6099612749151,298.8670063271222,170.9994831805343,299.5926934910757,84914300,36636000
2022-02-03,169.18919372558594,291.48431396484375,172.4575215973305,301.1408007887822,168.42593537257994,290.2361239043447,170.7352853699913,299.4571866637444,89418100,43730000
2022-02-04,168.905029296875,296.0223388671875,170.58046717103358,298.78961201270425,167.22959142271642,290.24586730318873,168.20937580635172,290.47807776902533,82465400,35096500
2022-02-07,168.18984985351562,291.1940612792969,170.43355030058285,297.860691549558,167.49419611908272,290.17808160206255,169.36558853604996,296.24484477716817,77251200,28533300
2022-02-08,171.29574584960938,294.6870422363281,171.80523803495097,295.65462512508105,167.96446919200875,290.2264992927546,168.25840756625686,291.48434523681885,74829200,32421200
2022-02-09,172.71641540527344,301.1214904785156,173.07893089654075,301.81815140418445,171.36430797248656,297.4253459420539,172.49106914991745,299.8249328306882,71285000,31284700
2022-02-10,168.6405029296875,292.5777893066406,171.93257943938036,299.09929010324925,168.08203354026793,290.9522567476279,170.6196718007765,294.18398083338894,90865900,45386200
2022-02-11,165.2308807373047,285.4756774902344,169.5811269216294,294.4258196414898,164.64300397443432,284.6822523965232,168.846288443205,293.3614725070343,98670700,39175600
2022-02-14,165.46600341796875,285.43701171875,166.1518495458794,287.1399674072104,163.19289630795137,281.9053393438206,163.98651932384257,284.2468738871611,86185500,36359500
2022-02-15,169.29696655273438,290.72967529296875,169.45373566949445,291.04896470161543,166.80832036305304,287.39150201566304,167.5137664381475,290.28459536542493,62527400,27058300
